,X_Ray_Class,X_Ray_Intensity,NOAA_Number_flare,Date_x,magnetic_classification,NOAA,zurich_class,penumbra_class,compactness_class,No_of_spots,longitudanal_extent,Area,Status
11,,,,2000-01-24 00:20:00, B  ,8838,C,S,O,6.0,4.0,20.0,Unassociated
12,,,,2000-01-25 00:22:00, B  ,8843,B,X,O,5.0,4.0,10.0,Unassociated
13,,,,2000-01-25 00:22:00, B  ,8839,C,S,O,13.0,7.0,60.0,Unassociated
14,,,,2000-01-25 12:30:00, B  ,8840,B,X,O,2.0,5.0,10.0,Unassociated
15,,,,2000-01-27 16:34:00, B  ,8846,B,X,O,2.0,10.0,10.0,Unassociated
16,,,,2000-01-29 16:10:00, B  ,8844,D,S,O,3.0,7.0,42.0,Unassociated
17,,,,2000-01-30 08:30:00, B  ,8847,B,X,O,2.0,3.0,30.0,Unassociated
18,,,,2000-01-30 12:20:00, B  ,8849,B,X,O,2.0,4.0,10.0,Unassociated
19,,,,2000-01-31 01:15:00, B  ,8850,B,X,O,2.0,3.0,10.0,Unassociated
20,,,,2000-02-05 01:20:00, B  ,8860,B,X,O,3.0,3.0,10.0,Unassociated
21,,,,2000-02-05 01:20:00, B  ,8859,D,A,O,2.0,8.0,60.0,Unassociated
22,,,,2000-02-09 01:46:00, B  ,8857,B,X,O,3.0,4.0,10.0,Unassociated
23,,,,2000-02-09 13:29:00, B  ,8852,B,X,O,4.0,8.0,10.0,Unassociated
24,,,,2000-02-09 16:48:00, B  ,8862,C,S,O,2.0,4.0,100.0,Unassociated
25,,,,2000-02-10 01:05:00, B  ,8854,C,R,O,4.0,4.0,20.0,Unassociated
26,,,,2000-02-10 18:47:00, B  ,8864,B,X,O,2.0,6.0,10.0,Unassociated
27,,,,2000-02-11 16:15:00, B  ,8863,B,X,O,4.0,2.0,10.0,Unassociated
28,,,,2000-02-14 12:30:00, B  ,8873,B,X,O,2.0,4.0,10.0,Unassociated
29,,,,2000-02-15 08:16:00, A  ,8871,H,A,O,2.0,2.0,20.0,Unassociated
30,,,,2000-02-17 00:55:00, B  ,8874,B,X,O,4.0,5.0,10.0,Unassociated
31,,,,2000-02-17 00:55:00, B  ,8877,B,X,O,3.0,2.0,10.0,Unassociated
32,,,,2000-02-18 12:45:00, B  ,8878,B,X,O,2.0,2.0,10.0,Unassociated
33,,,,2000-02-20 02:35:00, B  ,8876,B,X,O,3.0,1.0,10.0,Unassociated
34,,,,2000-02-21 00:45:00, B  ,8880,C,R,O,2.0,4.0,30.0,Unassociated
35,,,,2000-02-23 00:51:00, B  ,8870,D,S,O,2.0,5.0,60.0,Unassociated
36,,,,2000-02-25 03:40:00, B  ,8875,D,S,O,6.0,10.0,50.0,Unassociated
37,,,,2000-02-25 03:40:00, B  ,8885,B,S,O,2.0,4.0,20.0,Unassociated
38,,,,2000-02-27 11:52:00, B  ,8893,C,R,O,2.0,4.0,10.0,Unassociated
39,,,,2000-02-27 11:52:00, B  ,8887,C,R,O,7.0,3.0,30.0,Unassociated
40,,,,2000-02-29 03:32:00, B  ,8894,B,X,O,3.0,3.0,30.0,Unassociated
41,,,,2000-02-29 15:59:00, B  ,8895,B,X,O,3.0,4.0,10.0,Unassociated
42,,,,2000-03-02 01:00:00, A  ,8881,H,A,X,2.0,2.0,30.0,Unassociated
43,,,,2000-03-04 01:45:00, A  ,8883,H,S,X,2.0,2.0,30.0,Unassociated
44,,,,2000-03-04 01:45:00, A  ,8892,H,S,X,1.0,1.0,20.0,Unassociated
45,,,,2000-03-06 15:00:00, B  ,8896,B,X,O,2.0,2.0,10.0,Unassociated
46,,,,2000-03-07 07:10:00, A  ,8897,A,X,X,1.0,2.0,20.0,Unassociated
47,,,,2000-03-10 15:58:00, A  ,8905,A,X,X,4.0,1.0,20.0,Unassociated
48,,,,2000-03-12 02:45:00, B  ,8907,C,S,O,3.0,7.0,20.0,Unassociated
49,,,,2000-03-13 06:47:00, A  ,8908,A,X,X,2.0,2.0,10.0,Unassociated
50,,,,2000-03-13 06:47:00, B  ,8902,B,X,O,3.0,3.0,10.0,Unassociated
51,,,,2000-03-15 12:12:00, A  ,8903,H,S,X,1.0,1.0,20.0,Unassociated
52,,,,2000-03-16 11:29:00, A  ,8911,H,R,X,1.0,1.0,10.0,Unassociated
53,,,,2000-03-24 06:30:00, B  ,8920,C,R,O,2.0,3.0,10.0,Unassociated
54,,,,2000-03-26 16:08:00, A  ,8923,A,X,X,1.0,1.0,10.0,Unassociated
55,,,,2000-03-28 10:15:00, B  ,8927,D,A,O,2.0,6.0,30.0,Unassociated
56,,,,2000-03-29 09:30:00, A  ,8922,H,R,X,2.0,1.0,10.0,Unassociated
