,index,Wilson Magnetic Classification,NOAA_Number_spots,Zurich Class,penumbra Class,Compactness Class,Number of Spots,Longitudanal extent,Area,Date_x,X_Ray_Class,X_Ray_Intensity,Integrated_Flux,NOAA_Number_flare,Date_y,Status
162,41831, A  ,9138,A,X,X,1.0,1.0,10.0,2000-08-29 14:05:00,,,,,,Unassociated
163,42541, A  ,9148,A,X,X,1.0,1.0,10.0,2000-08-30 17:40:00,,,,,,Unassociated
164,42924, A  ,9150,H,R,X,1.0,1.0,20.0,2000-09-01 01:20:00,,,,,,Unassociated
165,42000, B  ,9142,B,X,O,2.0,10.0,20.0,2000-09-03 14:23:00,,,,,,Unassociated
166,42535, A  ,9146,A,X,X,1.0,1.0,10.0,2000-09-03 14:23:00,,,,,,Unassociated
167,43094, B  ,9153,C,S,O,10.0,6.0,30.0,2000-09-04 14:45:00,,,,,,Unassociated
168,43422, B  ,9155,D,A,O,3.0,2.0,20.0,2000-09-05 07:45:00,,,,,,Unassociated
169,42528, A  ,9145,A,X,X,1.0,1.0,30.0,2000-09-07 01:05:00,,,,,,Unassociated
170,43455, B  ,9159,B,X,O,2.0,5.0,20.0,2000-09-08 01:59:00,,,,,,Unassociated
171,43081, B  ,9152,B,X,O,2.0,2.0,10.0,2000-09-09 14:30:00,,,,,,Unassociated
172,43449, A  ,9157,A,X,X,3.0,2.0,10.0,2000-09-10 17:45:00,,,,,,Unassociated
173,43493, B  ,9162,B,X,O,2.0,6.0,10.0,2000-09-15 11:33:00,,,,,,Unassociated
174,43539, A  ,9164,H,S,X,1.0,1.0,20.0,2000-09-17 14:45:00,,,,,,Unassociated
175,45968, B  ,9168,D,S,O,3.0,3.0,40.0,2000-09-18 00:50:00,,,,,,Unassociated
176,43524, A  ,9163,H,R,X,1.0,1.0,30.0,2000-09-18 00:50:00,,,,,,Unassociated
177,43516, A  ,9161,A,X,X,1.0,1.0,10.0,2000-09-20 14:20:00,,,,,,Unassociated
178,47970, A  ,9174,A,X,X,1.0,1.0,10.0,2000-09-26 17:10:00,,,,,,Unassociated
179,47980, A  ,9175,A,X,X,2.0,2.0,10.0,2000-09-28 16:30:00,,,,,,Unassociated
180,47221, B  ,9170,B,X,O,3.0,13.0,10.0,2000-09-29 12:03:00,,,,,,Unassociated
181,47260, A  ,9171,A,X,X,1.0,1.0,10.0,2000-10-02 17:28:00,,,,,,Unassociated
182,48891, A  ,9180,A,X,X,2.0,1.0,10.0,2000-10-03 08:25:00,,,,,,Unassociated
183,49614, B  ,9183,B,X,O,3.0,5.0,20.0,2000-10-03 15:41:00,,,,,,Unassociated
184,48882, B  ,9179,B,X,O,3.0,2.0,10.0,2000-10-04 12:33:00,,,,,,Unassociated
185,48906, B  ,9186,D,S,O,2.0,9.0,90.0,2000-10-08 00:50:00,,,,,,Unassociated
186,49695, A  ,9191,A,X,X,1.0,1.0,10.0,2000-10-13 12:00:00,,,,,,Unassociated
187,49638, B  ,9188,C,S,O,3.0,2.0,10.0,2000-10-14 12:12:00,,,,,,Unassociated
188,49655, A  ,9189,A,X,X,2.0,2.0,10.0,2000-10-14 14:14:00,,,,,,Unassociated
189,49854, A  ,9196,A,X,X,2.0,2.0,20.0,2000-10-14 14:14:00,,,,,,Unassociated
190,49715, B  ,9192,B,X,O,3.0,4.0,10.0,2000-10-16 14:30:00,,,,,,Unassociated
191,49692, B  ,9190,C,S,O,2.0,2.0,20.0,2000-10-19 12:30:00,,,,,,Unassociated
192,50586, B  ,9202,B,X,O,5.0,5.0,10.0,2000-10-23 00:20:00,,,,,,Unassociated
193,50578, B  ,9204,C,S,O,6.0,4.0,20.0,2000-10-25 13:20:00,,,,,,Unassociated
194,51195, B  ,9211,B,X,O,3.0,3.0,10.0,2000-10-28 12:13:00,,,,,,Unassociated
195,50678, B  ,9215,B,X,O,4.0,5.0,10.0,2000-10-29 14:20:00,,,,,,Unassociated
196,50674, B  ,9208,D,S,O,2.0,3.0,30.0,2000-11-02 06:50:00,,,,,,Unassociated
197,51865, A  ,9217,A,X,X,2.0,3.0,30.0,2000-11-02 15:24:00,,,,,,Unassociated
198,50622, B  ,9206,B,X,O,2.0,5.0,10.0,2000-11-03 01:45:00,,,,,,Unassociated
199,52000, B  ,9224,C,A,O,4.0,8.0,30.0,2000-11-08 08:15:00,,,,,,Unassociated
200,52002, B  ,9226,C,A,O,2.0,2.0,40.0,2000-11-08 08:15:00,,,,,,Unassociated
201,51942, A  ,9222,H,R,X,1.0,1.0,30.0,2000-11-09 01:14:00,,,,,,Unassociated
202,52217, B  ,9230,B,X,O,3.0,3.0,10.0,2000-11-11 12:20:00,,,,,,Unassociated
203,51998, B  ,9225,C,S,O,2.0,1.0,30.0,2000-11-12 12:30:00,,,,,,Unassociated
204,51893, A  ,9220,A,X,X,1.0,1.0,10.0,2000-11-12 12:30:00,,,,,,Unassociated
205,51859, A  ,9219,H,S,X,1.0,2.0,50.0,2000-11-13 00:50:00,,,,,,Unassociated
206,52174, B  ,9228,C,R,O,2.0,2.0,20.0,2000-11-15 11:30:00,,,,,,Unassociated
207,52213, A  ,9229,H,S,X,1.0,1.0,10.0,2000-11-21 13:15:00,,,,,,Unassociated
208,53645, A  ,9232,A,X,X,2.0,2.0,20.0,2000-11-22 13:00:00,,,,,,Unassociated
209,55461, B  ,9241,B,X,O,2.0,2.0,10.0,2000-11-24 15:30:00,,,,,,Unassociated
210,53672, B  ,9233,B,X,O,2.0,4.0,30.0,2000-11-26 13:10:00,,,,,,Unassociated
211,55789, B  ,9243,D,S,O,6.0,8.0,40.0,2000-12-03 12:15:00,,,,,,Unassociated
212,56494, A  ,9256,H,S,X,2.0,1.0,10.0,2000-12-06 12:15:00,,,,,,Unassociated
213,55815, A  ,9245,A,X,X,1.0,1.0,10.0,2000-12-06 16:50:00,,,,,,Unassociated
214,56433, A  ,9249,A,X,X,1.0,2.0,10.0,2000-12-07 19:45:00,,,,,,Unassociated
215,56516, B  ,9259,B,X,O,3.0,6.0,20.0,2000-12-08 12:37:00,,,,,,Unassociated
216,56488, A  ,9260,H,S,X,2.0,2.0,50.0,2000-12-09 15:38:00,,,,,,Unassociated
217,56512, B  ,9258,C,S,O,3.0,2.0,10.0,2000-12-11 00:19:00,,,,,,Unassociated
218,56628, A  ,9263,H,S,X,1.0,1.0,40.0,2000-12-12 00:10:00,,,,,,Unassociated
219,56467, A  ,9254,A,X,X,2.0,2.0,20.0,2000-12-12 12:13:00,,,,,,Unassociated
220,56476, A  ,9255,H,R,X,1.0,1.0,20.0,2000-12-13 07:57:00,,,,,,Unassociated
221,56509, B  ,9257,C,S,O,3.0,4.0,30.0,2000-12-13 18:20:00,,,,,,Unassociated
222,56769, A  ,9265,H,R,X,1.0,1.0,10.0,2000-12-18 08:03:00,,,,,,Unassociated
